20184,Gandalf+der+wei%C3%9Fe,508,1,3401,919
26680,Absolute+Beginner,0,1,779,1511
30310,KaiSau,0,1,26,2239
52534,roter+rabe,140,0,0,2481
72835,kasperkarl,266,3,3571,898
79971,MussGro%C3%9F,0,1,647,1572
88054,Gaoyong,494,2,4126,851
93974,Gecko%2A,0,3,2062,1142
104322,Taps0815,0,0,0,2482
122429,ArcDhaza,0,1,2835,1004
136338,leon.s.kennedy,302,1,2646,1034
142049,theillnes,302,1,1263,1356
186056,El+Cid+3001,0,0,0,2483
193940,Siedlerfan,0,0,0,2484
202692,KasiserValli2,135,7,37938,325
204035,Engel+desTodes,131,1,198,1893
230231,relkS,0,1,26,2240
230554,FStangR,594,2,3532,904
233335,super+m%40c,0,1,290,1805
239399,Goldnase,656,1,1134,1390
261877,Tante+Nein-Nein,702,1,809,1507
272291,good+punisher,0,0,0,2485
278715,Alfred+Biolek,0,0,0,2486
319745,freenation,348,12,39714,317
319909,Der+Held+schlecht+hin,557,1,2180,1118
323779,Krahitna,0,1,1350,1328
347067,Mr.+Buechel,273,12,76001,187
360712,doppeltack,61,16,97218,132
368090,Murmelbaechen,567,1,491,1648
387223,Mastermjk,0,0,0,2487
400157,wobroy,0,1,26,2241
405553,Dorftor,394,5,12725,557
416283,Eulenauge,355,1,345,1754
427376,viktor395591,61,11,53633,256
438853,microOdt,0,1,673,1558
461286,Der+Gangmaster,0,1,26,2242
469654,Pemi,507,8,14436,528
484127,MatthesDO,0,1,38,2187
485965,MichaCologne1,0,1,83,2035
488307,H0r5Ti,0,1,1777,1213
508179,rocklee44,0,0,0,2488
550694,toni2805,0,1,686,1548
553757,Aschilos61,0,1,327,1770
558807,Max1%21,0,0,0,2489
592678,wir+eben,201,17,86719,158
596389,Biggi+S,652,2,3801,877
608497,meluana,656,1,2228,1107
611188,maverik,41,27,178761,25
624214,Atariandi,149,1,1092,1399
625537,CrowBlackHorse,707,1,2277,1093
629516,Skaterffm,147,1,2730,1019
632653,Sepp+von+Drazdany,590,5,16530,501
670761,kirtap000,0,1,1375,1322
682881,Brausi,0,1,440,1686
687990,dilo123,0,1,204,1887
697125,Finding+Forrester,0,1,1757,1220
697324,MrJohnny,0,1,47,2150
705282,Jacky+Jan,679,1,6559,717
717085,soulfly111,0,1,26,2243
737987,Robert+Baratheon,0,0,0,2490
767514,Suse1979,0,1,38,2188
781161,Philipss,640,1,1709,1235
809343,Merdio,0,1,280,1812
831449,FCZ+und+EVZ,93,15,96830,133
835383,Mark1990,640,1,215,1874
840147,Black+Willy,617,2,4351,838
858526,schuschei,0,1,325,1772
866518,tatanka-yotanka,93,5,17594,487
875525,langer45,0,1,1062,1412
877270,McFarmer757,102,5,19545,471
882734,Mr.Lange,0,1,607,1591
923922,gladiator6,0,1,1170,1376
923924,Najafe,219,13,76261,185
941519,bibi100,120,1,876,1472
942831,Gatz,648,0,0,2491
