20184,Gandalf+der+wei%C3%9Fe,508,1,2272,1160
26680,Absolute+Beginner,0,1,779,1613
52534,roter+rabe,140,3,8494,665
72835,kasperkarl,266,4,7375,716
79971,MussGro%C3%9F,0,1,647,1668
88054,Gaoyong,494,3,5314,814
93974,Gecko%2A,0,9,23066,427
104322,Taps0815,0,0,0,2689
122429,ArcDhaza,0,2,6042,779
136338,leon.s.kennedy,0,1,1802,1278
142049,theillnes,302,1,509,1753
186056,El+Cid+3001,340,1,11297,590
193940,Siedlerfan,0,0,0,2690
202692,KasiserValli2,135,5,29204,373
204035,Engel+desTodes,131,1,102,2156
230231,relkS,0,1,26,2410
230554,FStangR,594,1,2162,1188
233335,super+m%40c,0,1,262,1946
239399,Goldnase,656,1,939,1549
261877,Tante+Nein-Nein,0,1,247,1964
271549,philos,0,1,210,2005
272291,good+punisher,318,1,6753,750
278715,Alfred+Biolek,0,0,0,2691
319745,freenation,348,7,26390,387
319909,Der+Held+schlecht+hin,557,1,2180,1177
323779,Krahitna,0,1,1109,1485
347067,Mr.+Buechel,273,8,45421,261
348607,Shakyra,0,0,0,2692
360712,doppeltack,61,12,61099,184
368090,Murmelbaechen,567,1,352,1858
368877,karatekid1,0,0,0,2693
387223,Mastermjk,0,0,0,2694
400157,wobroy,0,1,26,2411
405553,Dorftor,394,7,14628,534
410413,Superfish,0,1,146,2096
414282,teamgoris,44,0,0,2695
416283,Eulenauge,355,1,309,1899
425339,Sinthorias,315,2,2919,1042
427376,viktor395591,61,10,42126,281
438853,microOdt,0,1,444,1796
461286,Der+Gangmaster,0,1,26,2412
469654,Pemi,507,6,10609,600
484127,MatthesDO,0,0,0,2696
485896,checker07,0,1,617,1686
486085,visiondream,0,0,0,2697
488307,H0r5Ti,0,1,843,1588
508179,rocklee44,0,1,2605,1090
550694,toni2805,0,1,686,1650
553757,Aschilos61,0,1,289,1919
558807,Max1%21,0,2,3585,968
592678,wir+eben,201,16,70822,152
595051,kalamir98,0,1,251,1956
596389,Biggi+S,706,1,2268,1157
608497,meluana,656,1,1501,1361
611188,maverik,41,23,138669,26
624214,Atariandi,149,1,925,1553
625537,CrowBlackHorse,707,1,1546,1352
629516,Skaterffm,147,2,5142,826
632653,Sepp+von+Drazdany,590,3,7977,685
670761,kirtap000,0,1,1197,1458
682881,Brausi,0,1,215,1996
697125,Finding+Forrester,0,1,1257,1430
697324,MrJohnny,0,1,50,2293
705282,Jacky+Jan,679,1,5968,777
717085,soulfly111,0,1,26,2413
720098,Swordlady,0,0,0,2698
735547,Angelika2702,0,1,874,1572
737987,Robert+Baratheon,0,0,0,2699
744880,eisbachtal94,0,1,26,2414
767514,Suse1979,0,1,38,2365
781161,Philipss,640,1,660,1665
831449,FCZ+und+EVZ,93,13,72404,146
835383,Mark1990,640,1,1383,1408
840147,Black+Willy,617,1,3030,1032
858526,schuschei,0,1,212,2004
863854,Hagenug,730,1,96,2166
866518,tatanka-yotanka,93,4,13313,560
875525,langer45,0,1,746,1625
877270,McFarmer757,102,4,16680,500
882734,Mr.Lange,0,1,338,1875
923922,gladiator6,0,1,593,1698
923924,Najafe,98,10,50051,238
941519,bibi100,120,1,979,1535
942831,Gatz,648,0,0,2700
950295,sk1963,184,12,44135,268
950620,nici55,0,1,26,2415
957722,wolle40,667,3,6079,770
965430,Nygel,707,1,1661,1327
966986,de+Schmid,0,1,26,2416
971163,Chaosplayer007,273,17,66995,164
973186,die+Sauerl%C3%A4nderin,0,1,2449,1123
978090,Emira,0,1,219,1989
982237,Lieschen33,0,1,566,1717
984847,Sunny+7,0,1,38,2366
998056,shiva+10,0,1,686,1651
1003622,huba1,671,4,12294,576
1020788,Gromper,0,0,0,2701
1029073,Sp33d1990,547,1,2522,1111
1066066,engel258,0,1,1307,1415
1078147,pedaner,606,1,4809,857
1122873,jupiterms,137,1,1533,1355
1125583,Mickylein,507,4,5175,823
1149354,OTTO+der+14.,566,2,2229,1169
1149562,Marcus771,0,0,0,2702
1160190,Tungil+Goldhand+2,0,1,1091,1490
1181373,verus,388,8,23082,426
1183177,Schaefery,571,0,0,2703
1184529,Flatussi,0,1,295,1911
1186708,spenco92,209,1,2373,1136
1194094,Krababel,221,17,108832,62
1195917,steinfeld,0,1,404,1816
1222045,VW+Golf+1,364,6,16727,499
1222552,basakum,553,3,12920,567
1253682,73PEGASUS73,0,2,803,1604
1289661,i3l%40ckterror,451,7,24215,413
1296370,Tanitha,180,1,273,1935
1305273,Bart95,0,1,1034,1525
1338961,bringenix,0,1,1950,1228
1363922,dori106,0,1,1371,1403
1375412,ulrich-ag,412,3,6579,757
1385733,haniced,590,2,5591,801
